設置場所名,住所,経度,緯度,投票区
湯浅勝江宅脇,印西市草深489,140.16616,35.784098,第８投票区ー７: 草深ふれあい市民センターロビー
木刈東児童公園北側,印西市木刈1-2,140.11413,35.809437,第９投票区ー１: 木刈小学校体育館
浦幡新田公園北側,印西市木刈1-4-6,140.109362,35.810088,第９投票区ー２: 木刈小学校体育館
木刈北児童公園南側,印西市木刈4-22,140.104164,35.810104,第９投票区ー３: 木刈小学校体育館
木刈保育園前,印西市木刈6-23,140.104793,35.807863,第９投票区ー４: 木刈小学校体育館
木刈小学校前,印西市木刈2-6,140.106182,35.81032,第９投票区ー５: 木刈小学校体育館
大塚三丁目集会所隣,印西市和泉1386-7,140.120541,35.813778,第９投票区ー６: 木刈小学校体育館
木刈中児童公園西側,印西市木刈2-3,140.106198,35.807244,第９投票区ー７: 木刈小学校体育館
大塚街区公園北側,印西市大塚3-30,140.121453,35.812332,第９投票区ー８: 木刈小学校体育館
大塚前公園東側,印西市小倉台1-2,140.113533,35.804186,第１０投票区ー１: 小倉台小学校体育館
大塚前公園西側,印西市小倉台1-2,140.112115,35.804634,第１０投票区ー２: 小倉台小学校体育館
小倉台東児童公園西側,印西市小倉台4-4,140.112778,35.806275,第１０投票区ー３: 小倉台小学校体育館
小倉台小学校北側,印西市小倉台2-3,140.109209,35.804756,第１０投票区ー４: 小倉台小学校体育館
木刈中学校前,印西市木刈2-1,140.1106911,35.8070051,第１０投票区ー５: 小倉台小学校体育館
小倉台小学校南側,印西市小倉台2-3,140.110631,35.80398,第１０投票区ー６: 小倉台小学校体育館
ファーストスクエア小倉台北側,印西市小倉台4-102,140.115321,35.808249,第１０投票区ー７: 小倉台小学校体育館
北総花の丘公園入口,印西市原山1-12-1,140.123501,35.798697,第１１投票区ー１: 内野小学校体育館
内野小学校北側,印西市内野1-1,140.125475,35.798511,第１１投票区ー２: 内野小学校体育館
内野保育園前,印西市内野1-12,140.124281,35.796817,第１１投票区ー３: 内野小学校体育館
内野南児童公園東側,印西市内野2-8,140.125667,35.794565,第１１投票区ー４: 内野小学校体育館
多々羅田公園南側,印西市内野1-10-1,140.12799,35.794939,第１１投票区ー５: 内野小学校体育館
多々羅田公園東側,印西市内野1-10-1,140.127124,35.796452,第１１投票区ー６: 内野小学校体育館
内野南第２団地入口,印西市内野2‐6‐3,140.12389,35.791701,第１１投票区ー７: 内野小学校体育館
原山小学校北側,印西市原山3-4,140.129952,35.800092,第１２投票区ー１: 原山小学校体育館
企業庁跡地前,印西市原山3-8,140.132924,35.798126,第１２投票区ー２: 原山小学校体育館
原山小学校東側,印西市原山3-4,140.131287,35.799703,第１２投票区ー３: 原山小学校体育館
原山中学校裏門隣,印西市原山1-2,140.128517,35.79845,第１２投票区ー４: 原山小学校体育館
高花北街区公園南側,印西市高花1-24,140.136662,35.798446,第１３投票区ー８: 高花小学校体育館
原山北街区公園南側,印西市原山1-6,140.12826,35.800872,第１２投票区ー５: 原山小学校体育館
原山南児童公園南側,印西市原山1-10,140.128926,35.797038,第１２投票区ー６: 原山小学校体育館
船穂中学校前,印西市高花1-3,140.133159,35.795212,第１３投票区ー１: 高花小学校体育館
高花中児童公園南側,印西市高花4-8-1,140.140927,35.793701,第１３投票区ー２: 高花小学校体育館
高花公園東側,印西市高花5-4,140.138053,35.795863,第１３投票区ー３: 高花小学校体育館
高花小学校前,印西市高花2-4,140.13918,35.797667,第１３投票区ー４: 高花小学校体育館
高花東街区公園東側,印西市高花2-5,140.141956,35.797749,第１３投票区ー５: 高花小学校体育館
高花南児童公園東側,印西市高花6-28,140.142777,35.790678,第１３投票区ー６: 高花小学校体育館
高花西児童公園西側,印西市高花1-7,140.133457,35.795937,第１３投票区ー７: 高花小学校体育館
西の原小学校北側,印西市西の原2-7,140.152087,35.800994,第１４投票区ー１: 西の原小学校体育館
西の原東街区公園東側,印西市西の原2-1,140.158924,35.800817,第１４投票区ー２: 西の原小学校体育館
牧の原学校給食センター前,印西市別所71－1,140.154404,35.807901,第１４投票区ー３: 西の原小学校体育館
西の原北街区公園東側,印西市西の原3-8,140.155729,35.802582,第１４投票区ー４: 西の原小学校体育館
西の原公園南側,印西市西の原1-4,140.15774,35.801345,第１４投票区ー５: 西の原小学校体育館
西の原中学校北側,印西市西の原1-3,140.15757,35.803684,第１４投票区ー６: 西の原小学校体育館
西の原西街区公園南側,印西市西の原3-13,140.153303,35.801064,第１４投票区ー７: 西の原小学校体育館
原西街区公園南側,印西市原2-6,140.161992,35.800773,第１５投票区ー１: そうふけ公民館多目的室
草深公園北側,印西市原2-4,140.166532,35.801178,第１５投票区ー２: そうふけ公民館多目的室
印西牧の原駅南側ロータリー,印西市原1-101,140.166857,35.802977,第１５投票区ー３: そうふけ公民館多目的室
原南街区公園南側,印西市原4-3-1,140.162391,35.798823,第１５投票区ー４: そうふけ公民館多目的室
そうふけ公民館前,印西市原3-4,140.165147,35.800043,第１５投票区ー５: そうふけ公民館多目的室
原東街区公園東側,印西市原3-1,140.168312,35.799211,第１５投票区ー６: そうふけ公民館多目的室
東の原公園北側,印西市東の原3-105,140.17243,35.797659,第１５投票区ー７: そうふけ公民館多目的室
東の原街区公園北側,印西市東の原2-106,140.172418,35.799279,第１５投票区ー８: そうふけ公民館多目的室
瀬戸構造改善センター前,印西市美瀬1080,140.220674,35.774543,第１６投票区ー１: 六合小学校体育館
松田敏郎畑地東側,印西市瀬戸1388地先,140.226241,35.776383,第１６投票区ー２: 六合小学校体育館
印旛中央公園入口,印西市瀬戸1504-1地先,140.220994,35.779381,第１６投票区ー３: 六合小学校体育館
宮後構造改善センター向い,印西市山田875-2,140.239822,35.773925,第１６投票区ー４: 六合小学校体育館
仲井構造改善センター前,印西市山田93-1,140.236088,35.77113,第１６投票区ー５: 六合小学校体育館
仲井青年館跡前,印西市山田3273番地先,140.233575,35.767614,第１６投票区ー６: 六合小学校体育館
吉高構造改善センター脇,印西市吉高854,140.235048,35.78827,第１６投票区ー７: 六合小学校体育館
一本松地区入口,印西市吉高3258番地先,140.226321,35.792854,第１６投票区ー８: 六合小学校体育館
萩原構造改善センター入口,印西市萩原1404-2,140.211297,35.800159,第１６投票区ー９: 六合小学校体育館
松虫構造改善センター前,印西市松虫７,140.21464,35.789429,第１６投票区ー１０: 六合小学校体育館
岩戸構造改善センター前,印西市岩戸1616-1,140.169935,35.766291,第１７投票区ー１: 印旛西部公園管理棟ホール
印旛西部公園前,印西市岩戸2878-2,140.164386,35.763075,第１７投票区ー２: 印旛西部公園管理棟ホール
広福寺前,印西市師戸1486-1,140.184163,35.760516,第１７投票区ー３: 印旛西部公園管理棟ホール
渡辺文秀宅はす向かい,印西市師戸3315-4,140.191542,35.762504,第１７投票区ー４: 印旛西部公園管理棟ホール
鎌苅構造改善センター前,印西市鎌苅590-1,140.189761,35.773991,第１７投票区ー５: 印旛西部公園管理棟ホール
酢崎材木店脇,印西市造谷658-3地先,140.176104,35.78905,第１７投票区ー６: 印旛西部公園管理棟ホール
カーピカランド岩戸前,印西市岩戸3245-2地先,140.173151,35.772686,第１７投票区ー７: 印旛西部公園管理棟ホール
大廻鳩谷伸一宅脇,印西市大廻269-3地先,140.181975,35.779558,第１７投票区ー８: 印旛西部公園管理棟ホール
吉田宗像神社前,印西市吉田1600-1地先,140.154443,35.764749,第１７投票区ー９: 印旛西部公園管理棟ホール
万福寺前,印西市吉田821,140.152438,35.766902,第１７投票区ー１０: 印旛西部公園管理棟ホール
平賀深山宅脇,印西市平賀2613-2地先,140.246348,35.765662,第１８投票区ー１: 平賀小学校体育館
平賀四角脇,印西市平賀821-2,140.245734,35.760626,第１８投票区ー２: 平賀小学校体育館
平賀構造改善センター隣,印西市平賀870-2,140.245056,35.757642,第１８投票区ー３: 平賀小学校体育館
